ID,Company,Sàn,Year,ebit,dividendpaid,LR ebit,LR div
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,2022,133300000000,0,337928560278.64014,-139539999855.52127
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,2022,28250000000,0,337928560278.64014,-144737899029.8549
ABT,Thủy sản Bến Tre,HOSE,2022,55440000000,-23270000000,326537844558.5944,-143392531314.00403
ACC,Đầu tư và XD Bình Dương ACC,HOSE,2022,69230000000,-83670000000,296971912908.79803,-142710198809.34854
ACG,Gỗ An Cường,HOSE,2022,622100000000,-464700000000,110456897403.4682,-115354058718.78381
ADP,Sơn Á Đông,HOSE,2022,42390000000,-41590000000,317570164627.729,-144038248441.32486
AGM,XNK An Giang,HOSE,2022,-96890000000,0,337928560278.64014,-150929856218.58508
APC,Chiếu xạ An Phú,HOSE,2022,11760000000,0,337928560278.64014,-145553828181.54227
APH,Tập đoàn An Phát Holdings,HOSE,2022,240800000000,-5958000000,335012106292.3904,-134220874094.06612
ASG,Tập đoàn ASG,HOSE,2022,160100000000,-5210000000,335378253922.7554,-138213929433.13058
ASM,Tập đoàn Sao Mai,HOSE,2022,1329000000000,-637400000000,25919870980.954346,-80376477316.24759
ASP,Dầu khí An Pha,HOSE,2022,-2694000000,-20100000000,328089566468.02905,-146269015565.3197
AST,Dịch vụ Hàng không Taseco,HOSE,2022,34300000000,0,337928560278.64014,-144438543580.02414
BAF,Nông nghiệp BAF Việt Nam,HOSE,2022,365600000000,0,337928560278.64014,-128045740186.814
BCE,XD và GT Bình Dương,HOSE,2022,-46360000000,-76792680,337890970094.4003,-148429619709.50296
BFC,Phân bón Bình Điền,HOSE,2022,366400000000,-146300000000,266314391398.4214,-128006155995.10085
BMC,Khoáng sản Bình Định,HOSE,2022,19790000000,-19830000000,328221732056.52985,-145156501857.2215
BRC,Cao su Bến Thành,HOSE,2022,25550000000,-17150000000,329533597897.94464,-144871495676.88678
BTT,TM - DV Bến Thành,HOSE,2022,35060000000,-9514000000,333271436541.61755,-144400938597.89664
CCI,CIDICO,HOSE,2022,26070000000,-34390000000,321094580321.0822,-144845765952.27322
CCL,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,HOSE,2022,91660000000,0,337928560278.64014,-141600357034.19095
CIG,Xây dựng COMA 18,HOSE,2022,-15970000000,0,337928560278.64014,-146925915226.7995
CII,Hạ tầng Kỹ thuật TP.HCM,HOSE,2022,805100000000,-1390000000,337248152248.9511,-106299174864.39969
CLC,Thuốc lá Cát Lợi,HOSE,2022,205200000000,-65520000000,305856377469.1259,-135982370625.3015
CLL,Cảng Cát Lái,HOSE,2022,98140000000,-80750000000,298401259273.3246,-141279725081.3144
CLW,Cấp nước Chợ Lớn,HOSE,2022,33190000000,-15500000000,330341276494.3381,-144493466646.02615
CMG,Tập đoàn Công nghệ CMC,HOSE,2022,415500000000,-41480000000,317624009867.4886,-125576676228.70598
CRC,Create Capital Việt Nam,HOSE,2022,41400000000,-69990291,337894299878.6425,-144087233878.5699
CRV,Tập đoàn Bất động sản CRV,HOSE,2022,239400000000,-1015000000000,-158916152048.2364,-134290146429.56413
CSV,Hóa chất Cơ bản miền Nam,HOSE,2022,496700000000,-74420000000,301499808070.39764,-121558880769.82079
CVT,CMC JSC,HOSE,2022,207100000000,0,337928560278.64014,-135888358169.98276
DBD,Dược - TB Y tế Bình Định,HOSE,2022,273300000000,0,337928560278.64014,-132612766305.71921
DHA,Hóa An,HOSE,2022,86250000000,-73640000000,301881619770.51086,-141868045130.65115
DHC,Đông Hải Bến Tre,HOSE,2022,453400000000,-315000000000,183735373694.43707,-123701375146.29529
DHG,Dược Hậu Giang,HOSE,2022,1076000000000,-457600000000,113932362878.85815,-92894977945.53271
DPG,Tập đoàn Đạt Phương,HOSE,2022,730600000000,-85050000000,296296399900.90533,-109985452717.68723
DRC,Cao su Đà Nẵng,HOSE,2022,415500000000,-201900000000,239098070210.86047,-125576676228.70598
DRH,DRH Holdings,HOSE,2022,30640000000,0,337928560278.64014,-144619641257.11182
EVG,Tập đoàn Everland,HOSE,2022,28870000000,0,337928560278.64014,-144707221281.2772
FCM,Khoáng sản FECON,HOSE,2022,32210000000,-11480000000,332309075256.46027,-144541957280.87476
FCN,FECON CORP,HOSE,2022,114800000000,0,337928560278.64014,-140455384288.88797
FDC,FIDECO,HOSE,2022,-201600000000,-32240550,337912778459.1426,-156110932111.4406
FIT,Tập đoàn F.I.T,HOSE,2022,7278000000,-5238000000,335364547861.72565,-145775598615.61523
FMC,Thực phẩm Sao Ta,HOSE,2022,306900000000,-141900000000,268468200988.8039,-130950230253.76672
FPT,FPT Corp,HOSE,2022,6795000000000,-2222000000000,-749745282864.532,190082512563.88116
FRT,Bán lẻ FPT,HOSE,2022,556500000000,-39490000000,318598119204.95703,-118599962439.26248
GDT,Gỗ Đức Thành,HOSE,2022,82570000000,-38730000000,318970140861.47766,-142050132412.53168
GEG,Điện Gia Lai,HOSE,2022,850700000000,-57130000000,309963300756.24164,-104042875936.74988
GIL,XNK Bình Thạnh,HOSE,2022,249400000000,-58300000000,309390583206.0718,-133795344033.1497
HAR,BĐS An Dương Thảo Điền,HOSE,2022,9262000000,0,337928560278.64014,-145677429820.1666
HAS,Hacisco,HOSE,2022,1772000000,-1166000000,337357800737.1888,-146048036815.08102
HHS,Đầu tư DV Hoàng Huy,HOSE,2022,18690000000,0,337928560278.64014,-145210930120.8271
HII,An Tiến Industries,HOSE,2022,-119900000000,-152300000,337854009096.6821,-152068396532.73468
HMC,Kim khí TP.HCM,HOSE,2022,14360000000,-94470000000,291685289368.7682,-145425179558.47452
HRC,Cao su Hòa Bình,HOSE,2022,-690700000,0,337928560278.64014,-146169891801.246
HTV,Logistics Vicem,HOSE,2022,1358000000,-10480000000,332798577436.0927,-146068521634.29257
KHG,Tập đoàn Khải Hoàn Land,HOSE,2022,340800000000,0,337928560278.64014,-129272850129.92178
KMR,MIRAE,HOSE,2022,21150000000,0,337928560278.64014,-145089208731.3091
KOS,Công ty KOSY,HOSE,2022,101600000000,0,337928560278.64014,-141108523452.15503
LAF,Chế biến Hàng XK Long An,HOSE,2022,51120000000,0,337928560278.64014,-143606285949.25507
LDG,Đầu tư LDG,HOSE,2022,-50030000000,0,337928560278.64014,-148611212188.98706
LGL,Long Giang Land,HOSE,2022,-20830000000,0,337928560278.64014,-147166389191.4569
LSS,Mía đường Lam Sơn,HOSE,2022,70880000000,461205,337928786039.4929,-142628556413.94016
MDG,Xây dựng Miền Đông,HOSE,2022,28690000000,-7162000000,334422745668.113,-144716127724.41263
MSN,Tập đoàn Masan,HOSE,2022,4669000000000,-1253000000000,-275417670800.74536,84887523086.17285
NAF,Nafoods Group,HOSE,2022,119500000000,-13420000000,331359441027.97345,-140222827162.57318
NAV,Tấm lợp và gỗ Nam Việt,HOSE,2022,8240000000,-24320000000,326023867269.9804,-145727998625.08017
NBB,577 CORP,HOSE,2022,181300000000,0,337928560278.64014,-137164948352.732
NKG,Thép Nam Kim,HOSE,2022,93250000000,-219400000000,230531782067.29364,-141521683453.16107
NLG,BĐS Nam Long,HOSE,2022,829400000000,-520500000000,83142675779.9808,-105096805041.11263
NNC,Đá Núi Nhỏ,HOSE,2022,4408000000,-81078640,337888872107.6385,-145917606903.38617
NSC,Tập đoàn Giống cây trồng Việt Nam,HOSE,2022,275900000000,-107400000000,285356026186.1214,-132484117682.65146
NVT,Ninh Vân Bay,HOSE,2022,44320000000,-22050000000,327135037217.7459,-143942751578.8169
OPC,Dược phẩm OPC,HOSE,2022,178600000000,-26580000000,324917592344.01117,-137298544999.76389
PAC,Pin Ắc quy Miền Nam,HOSE,2022,229800000000,-69710000000,303805363336.4662,-134765156730.122
PDR,BĐS Phát Đạt,HOSE,2022,976500000000,0,337928560278.64014,-97818261789.85632
PET,PETROSETCO,HOSE,2022,484100000000,-30210000000,323140699431.9456,-122182331789.30298
PGC,Gas Petrolimex,HOSE,2022,135400000000,-90530000000,293613927956.5198,-139436091352.27423
PHR,Cao su Phước Hòa,HOSE,2022,244800000000,-361600000000,160924572123.56766,-134022953135.50034
PJT,Vận tải thủy PETROLIMEX,HOSE,2022,33040000000,-18620000000,328814029693.885,-144500888681.97235
PLX,Petrolimex,HOSE,2022,996800000000,-1746000000000,-516742245359.51404,-96813812925.13503
PNC,Văn hóa Phương Nam,HOSE,2022,11580000000,0,337928560278.64014,-145562734624.67773
POM,Thép Pomina,HOSE,2022,-592700000000,0,337928560278.64014,-175462653835.20905
PPC,Nhiệt điện Phả Lại,HOSE,2022,265400000000,-144200000000,267342345975.6494,-133003660198.88661
PTC,Đầu tư ICAPITAL,HOSE,2022,9529000000,0,337928560278.64014,-145664218596.18234
PVD,Khoan Dầu khí PVDrilling,HOSE,2022,67010000000,-3490000000,336220197671.7231,-142820044941.35254
REE,Cơ Điện Lạnh REE,HOSE,2022,3663000000000,-574500000000,56709558079.831665,35110402006.88095
SAM,SAM Holdings,HOSE,2022,-2999000000,-5119000000,335422798621.1019,-146284107038.41034
SBT,Mía đường Thành Thành Công - Biên Hòa,HOSE,2022,1091000000000,-77890000000,299801235507.07324,-92152774350.91107
SCD,Giải khát Chương Dương,HOSE,2022,-37330000000,0,337928560278.64014,-147982813145.5407
SCR,Sacomreal,HOSE,2022,58410000000,0,337928560278.64014,-143245575002.26895
SCS,DV Hàng hóa Sài Gòn,HOSE,2022,641100000000,-438800000000,123135003855.94711,-114413934165.59639
SFG,Phân bón Miền Nam,HOSE,2022,57450000000,-9590000000,333234234375.9655,-143293076032.32474
SHP,Thủy điện Miền Nam,HOSE,2022,392900000000,-199900000000,240077074570.12524,-126694929644.6026
SJS,SUDICO,HOSE,2022,9112000000,-735000000,337568776176.61035,-145684851856.11282
SMA,Thiết bị Phụ tùng Sài Gòn,HOSE,2022,43630000000,0,337928560278.64014,-143976892944.16946
SRC,Cao su Sao Vàng,HOSE,2022,49580000000,-16780000000,329714713704.4086,-143682485518.3029
STG,Kho Vận Miền Nam,HOSE,2022,242200000000,-793200000,337540287149.75574,-134151601758.5681
STK,Sợi Thế Kỷ,HOSE,2022,289700000000,-102200000000,287901437520.20984,-131801290375.59955
SVC,SAVICO,HOSE,2022,502600000000,-171200000000,254125787125.57486,-121266947355.93628
SVT,Công nghệ SG Viễn Đông,HOSE,2022,1798000000,0,337928560278.64014,-146046750328.85034
TCM,Dệt may Thành Công,HOSE,2022,362700000000,-372500000,337746220716.72705,-128189232881.77419
TCR,Gốm sứ TAICERA,HOSE,2022,10620000000,0,337928560278.64014,-145610235654.73352
TCT,Cáp treo Tây Ninh,HOSE,2022,14290000000,-6394000000,334798683342.0706,-145428643175.24942
TDC,Becamex TDC,HOSE,2022,268600000000,-133000000000,272824770387.53217,-132845323432.034
TDG,Đầu tư TDG Global,HOSE,2022,34840000000,0,337928560278.64014,-144411824250.61777
TDP,Công ty Thuận Đức,HOSE,2022,235700000000,0,337928560278.64014,-134473223316.23747
TDW,Cấp nước Thủ Đức,HOSE,2022,54960000000,-10270000000,332901372893.8155,-143416281829.03192
THG,XD Tiền Giang,HOSE,2022,184800000000,-24960000000,325710585875.0157,-136991767513.98694
